FILE,VOT
00dt.wav,0
10dt.wav,+10
20dt.wav,+20
24dt.wav,+24
28dt.wav,+28
32dt.wav,+32
36dt.wav,+36
40dt.wav,+40
50dt.wav,+50
60dt.wav,+60
